,data,errBoundRatio,input_size,max_quant_intl,check_radius,node_count,node_count_esti,curve_hit,curve_missed,hit_ratio,tree_size,encode_size,outlier_size,output_size,compression_ratio
19,bump.dat,1E-8, 445536,65536,0.000860,23835,23834,30933,24759,0.5554298642533937,214516,51657,69614, 214459, 2.07749
20,bump.dat,1E-7, 445536,65536,0.008601,40687,40686,50537,5155,0.9074373339079221,366184,78106,13072, 294108, 1.51487
21,bump.dat,1E-6, 445536,32768,0.043005,19013,19012,55180,512,0.9908065790418732,171118,69523,1152, 148358, 3.00311
22,bump.dat,1E-5, 445536,4096,0.053745,5005,5004,55310,382,0.9931408460820226,45046,52657,730, 69623, 6.39926
23,bump.dat,1E-4, 445536,512,0.067066,843,842,55346,346,0.9937872584931409,7588,34728,488, 28360, 15.71001
24,bump.dat,1E-3, 445536,64,0.082684,121,120,55365,327,0.9941284205990089,848,19664,488, 10332, 43.12195
25,bump.dat,1E-2, 445536,32,0.406857,63,62,55630,62,0.9988867341808518,442,14257,82, 4436, 100.43643
26,bump.dat,1E-1, 445536,32,4.068570,23,22,55690,2,0.9999640881993823,162,7147,4, 959, 464.58394
27,dpot.dat,1E-9, 165552,65536,0.009999,105,104,4206,16488,0.20324731806320673,736,4693,74897, 73871, 2.24110
28,dpot.dat,1E-8, 165552,65536,0.099992,1071,1070,4688,16006,0.22653909345704068,9640,3988,66808, 71140, 2.32713
